"","x"
"L_cf_dutt_1","6"
"L_cf_dutt_10","6"
"L_cf_dutt_11","7"
"L_cf_dutt_12","7"
"L_cf_dutt_13","7"
"L_cf_dutt_14","7"
"L_cf_dutt_15","7"
"L_cf_dutt_16","7"
"L_cf_dutt_18","7"
"L_cf_dutt_19","7"
"L_cf_dutt_2","6"
"L_cf_dutt_20","7"
"L_cf_dutt_28","7"
"L_cf_dutt_29","7"
"L_cf_dutt_3","6"
"L_cf_dutt_30","7"
"L_cf_dutt_31","8"
"L_cf_dutt_32","8"
"L_cf_dutt_33","8"
"L_cf_dutt_36","8"
"L_cf_dutt_37","2"
"L_cf_dutt_38","2"
"L_cf_dutt_4","6"
"L_cf_dutt_40","5"
"L_cf_dutt_43","5"
"L_cf_dutt_45","5"
"L_cf_dutt_47","5"
"L_cf_dutt_49","5"
"L_cf_dutt_5","6"
"L_cf_dutt_50","7"
"L_cf_dutt_51","7"
"L_cf_dutt_52","7"
"L_cf_dutt_53","7"
"L_cf_dutt_54","7"
"L_cf_dutt_55","7"
"L_cf_dutt_56","7"
"L_cf_dutt_57","7"
"L_cf_dutt_58","7"
"L_cf_dutt_59","7"
"L_cf_dutt_6","6"
"L_cf_dutt_7","6"
"L_cf_dutt_8","6"
"L_cf_dutt_9","6"
"L_cf_gent_1","4"
"L_cf_gent_10","4"
"L_cf_gent_11","2"
"L_cf_gent_12","4"
"L_cf_gent_13","4"
"L_cf_gent_14","4"
"L_cf_gent_15","4"
"L_cf_gent_16","6"
"L_cf_gent_17","6"
"L_cf_gent_18","6"
"L_cf_gent_21","6"
"L_cf_gent_22","6"
"L_cf_gent_23","6"
"L_cf_gent_24","6"
"L_cf_gent_26","3"
"L_cf_gent_27","3"
"L_cf_gent_28","6"
"L_cf_gent_29","6"
"L_cf_gent_3","4"
"L_cf_gent_30","6"
"L_cf_gent_32","3"
"L_cf_gent_33","3"
"L_cf_gent_35","2"
"L_cf_gent_36","2"
"L_cf_gent_39","2"
"L_cf_gent_4","4"
"L_cf_gent_41","2"
"L_cf_gent_42","2"
"L_cf_gent_44","2"
"L_cf_gent_45","3"
"L_cf_gent_46","3"
"L_cf_gent_47","3"
"L_cf_gent_48","3"
"L_cf_gent_49","3"
"L_cf_gent_5","4"
"L_cf_gent_50","3"
"L_cf_gent_51","3"
"L_cf_gent_52","3"
"L_cf_gent_53","3"
"L_cf_gent_54","3"
"L_cf_gent_55","4"
"L_cf_gent_56","4"
"L_cf_gent_57","4"
"L_cf_gent_58","4"
"L_cf_gent_59","4"
"L_cf_gent_6","4"
"L_cf_gent_60","7"
"L_cf_gent_61","7"
"L_cf_gent_62","7"
"L_cf_gent_63","7"
"L_cf_gent_64","7"
"L_cf_gent_65","7"
"L_cf_gent_66","7"
"L_cf_gent_67","7"
"L_cf_gent_68","7"
"L_cf_gent_69","7"
"L_cf_gent_7","4"
"L_cf_gent_70","6"
"L_cf_gent_8","4"
"L_cf_gent_9","2"
"L_dutt_Pop1","8"
"L_dutt_Pop10","8"
"L_dutt_Pop100","5"
"L_dutt_Pop101","8"
"L_dutt_Pop103","8"
"L_dutt_Pop105","8"
"L_dutt_Pop106","8"
"L_dutt_Pop107","8"
"L_dutt_Pop108","8"
"L_dutt_Pop11","8"
"L_dutt_Pop110","8"
"L_dutt_Pop12","8"
"L_dutt_Pop13","8"
"L_dutt_Pop14","8"
"L_dutt_Pop15","8"
"L_dutt_Pop17","8"
"L_dutt_Pop2","8"
"L_dutt_Pop20","8"
