Specimen,SpecimenOrder,Site,SiteOrder
L_gent_Pop177,1,Dyer,1
L_gent_Pop175,2,Dyer,1
L_gent_Pop176,3,Dyer,1
L_gent_Pop179,4,Dyer,1
L_gent_Pop180,5,Dyer,1
L_gent_Pop195,6,LL,5
L_ful_Pop121,7,LL,5
L_ful_Pop123,8,LL,5
L_ful_Pop028,9,F,8
L_ful_Pop183,10,SP,15
L_ful_Pop184,11,SP,15
L_ful_Pop185,12,SP,15
L_ful_Pop186,13,SP,15
L_gent_Pop163,14,SP,15
L_gent_Pop164,15,SP,15
L_ful_Pop031,16,FW,16
L_ful_Pop033,17,FW,16
L_ful_Pop034,18,FW,16
L_ful_Pop035,19,FW,16
L_ful_Pop036,20,FW,16
L_ful_Pop037,21,FW,16
L_ful_Pop038,22,FW,16
L_gent_Pop064,23,FW,16
L_gent_Pop066,24,FW,16
L_gent_Pop067,25,FW,16
L_gent_Pop069,26,FW,16
L_gent_Pop070,27,FW,16
L_gent_Pop071,28,FW,16
L_gent_Pop072,29,FW,16
L_gent_Pop073,30,FW,16
L_ful_Pop173,31,SM,17
L_ful_Pop174,32,SM,17
L_ful_Pop175,33,SM,17
L_ful_Pop176,34,SM,17
L_ful_Pop177,35,SM,17
L_ful_Pop178,36,SM,17
L_ful_Pop180,37,SM,17
L_ful_Pop181,38,SM,17
L_ful_Pop182,39,SM,17
L_gent_Pop153,40,SM,17
L_gent_Pop155,41,SM,17
L_gent_Pop156,42,SM,17
L_gent_Pop158,43,SM,17
L_gent_Pop159,44,SM,17
L_gent_Pop160,45,SM,17
L_gent_Pop161,46,SM,17
L_gent_Pop162,47,SM,17
L_gent_Pop014,48,CB,18
L_gent_Pop015,49,CB,18
L_gent_Pop016,50,CB,18
L_gent_Pop017,51,CB,18
L_gent_Pop018,52,CB,18
L_gent_Pop019,53,CB,18
L_gent_Pop020,54,CB,18
L_gent_Pop022,55,CB,18
L_gent_Pop023,56,CB,18
L_cf_gent_032,57,HDM,19
L_cf_gent_033,58,HDM,19
L_ful_Pop057,59,HDM,19
L_gent_Pop085,60,HDM,19
L_gent_Pop086,61,HDM,19
L_gent_Pop088,62,HDM,19
L_gent_Pop089,63,HDM,19
L_gent_Pop090,64,HDM,19
L_gent_Pop091,65,HDM,19
L_gent_Pop092,66,HDM,19
L_gent_Pop093,67,HDM,19
L_cf_gent_027,68,HDM,19
L_cf_gent_028,69,HDM,19
L_cf_gent_029,70,HDM,19
L_cf_gent_030,71,HDM,19
L_ful_Pop051,72,HDM,19
L_ful_Pop053,73,HDM,19
L_ful_Pop054,74,HDM,19
L_ful_Pop056,75,HDM,19
L_ful_Pop058,76,HDM,19
L_ful_Pop059,77,HDM,19
L_ful_Pop060,78,HDM,19
L_cf_gent_026,79,HDM,19
L_gent_Pop084,80,HDM,19
L_cf_gent_045,81,LM,20
L_cf_gent_046,82,LM,20
L_cf_gent_047,83,LM,20
L_cf_gent_048,84,LM,20
L_cf_gent_049,85,LM,20
L_cf_gent_050,86,LM,20
L_cf_gent_051,87,LM,20
L_cf_gent_052,88,LM,20
L_cf_gent_053,89,LM,20
L_cf_gent_054,90,LM,20
L_ful_Pop114,91,LM,20
L_ful_Pop115,92,LM,20
L_ful_Pop116,93,LM,20
L_ful_Pop117,94,LM,20
L_ful_Pop111,95,LM,20
L_ful_Pop112,96,LM,20
L_ful_Pop118,97,LM,20
L_ful_Pop119,98,LM,20
L_ful_Pop120,99,LM,20
L_ful_Pop208,100,HWY31,21
L_ful_Pop209,101,HWY31,21
L_ful_Pop210,102,HWY31,21
L_ful_Pop211,103,HWY31,21
L_ful_Pop212,104,HWY31,21
L_ful_Pop213,105,HWY31,21
L_ful_Pop214,106,HWY31,21
L_ful_Pop217,107,HWY31,21
L_ful_Pop215,108,HWY31,21
L_ful_Pop216,109,HWY31,21
L_ful_Pop047,110,HM,22
L_gent_Pop079,111,HM,22
L_gent_Pop082,112,HM,22
L_cf_dutt_001,113,HM,22
L_cf_dutt_002,114,HM,22
L_cf_dutt_003,115,HM,22
L_cf_dutt_004,116,HM,22
L_cf_dutt_005,117,HM,22
L_cf_dutt_006,118,HM,22
L_cf_dutt_007,119,HM,22
L_cf_dutt_008,120,HM,22
L_cf_dutt_009,121,HM,22
L_cf_dutt_010,122,HM,22
L_cf_gent_016,123,HM,22
L_cf_gent_017,124,HM,22
L_cf_gent_018,125,HM,22
L_cf_gent_021,126,HM,22
L_cf_gent_022,127,HM,22
L_cf_gent_023,128,HM,22
L_cf_gent_024,129,HM,22
L_cf_gent_070,130,HM,22
L_ful_Pop041,131,HM,22
L_ful_Pop042,132,HM,22
L_ful_Pop043,133,HM,22
L_ful_Pop044,134,HM,22
L_ful_Pop045,135,HM,22
L_ful_Pop046,136,HM,22
L_ful_Pop048,137,HM,22
L_ful_Pop049,138,HM,22
L_gent_Pop075,139,HM,22
L_gent_Pop076,140,HM,22
L_gent_Pop077,141,HM,22
L_gent_Pop078,142,HM,22
L_gent_Pop080,143,HM,22
L_gent_Pop081,144,HM,22
L_gent_Pop083,145,HM,22
L_dutt_Pop096,146,WB,23
L_dutt_Pop100,147,WB,23
L_ful_Pop218,148,WB,23
L_ful_Pop219,149,WB,23
L_ful_Pop220,150,WB,23
L_ful_Pop221,151,WB,23
L_ful_Pop222,152,WB,23
L_ful_Pop223,153,WB,23
L_ful_Pop224,154,WB,23
L_ful_Pop225,155,WB,23
