Specimen,SpecimenOrder,Site,SiteOrder
L_gent_Pop044,1,Dyer,1
L_gent_Pop045,2,Dyer,1
L_gent_Pop046,3,Dyer,1
L_gent_Pop047,4,Dyer,1
L_gent_Pop048,5,Dyer,1
L_gent_Pop049,6,Dyer,1
L_gent_Pop050,7,Dyer,1
L_gent_Pop051,8,Dyer,1
L_cf_gent_055,9,NV,2
L_cf_gent_056,10,NV,2
L_cf_gent_057,11,NV,2
L_cf_gent_058,12,NV,2
L_cf_gent_059,13,NV,2
L_gent_Pop118,14,NV,2
L_gent_Pop119,15,NV,2
L_gent_Pop120,16,NV,2
L_gent_Pop121,17,NV,2
L_gent_Pop122,18,NV,2
L_cf_gent_001,19,CV,3
L_cf_gent_003,20,CV,3
L_cf_gent_004,21,CV,3
L_cf_gent_005,22,CV,3
L_gent_Pop024,23,CV,3
L_gent_Pop025,24,CV,3
L_gent_Pop027,25,CV,3
L_gent_Pop028,26,CV,3
L_gent_Pop029,27,CV,3
L_gent_Pop030,28,CV,3
L_gent_Pop032,29,CV,3
L_gent_Pop026,30,CV,3
L_gent_Pop031,31,CV,3
L_gent_Pop033,32,CV,3
L_ful_Pop198,33,TB,4
L_ful_Pop201,34,TB,4
L_ful_Pop202,35,TB,4
L_ful_Pop204,36,TB,4
L_ful_Pop205,37,TB,4
L_ful_Pop206,38,TB,4
L_gent_Pop165,39,TB,4
L_gent_Pop166,40,TB,4
L_gent_Pop167,41,TB,4
L_gent_Pop170,42,TB,4
L_gent_Pop171,43,TB,4
L_gent_Pop172,44,TB,4
L_gent_Pop173,45,TB,4
L_gent_Pop174,46,TB,4
L_ful_Pop199,47,TB,4
L_ful_Pop200,48,TB,4
L_ful_Pop203,49,TB,4
L_ful_Pop207,50,TB,4
L_gent_Pop168,51,TB,4
L_gent_Pop169,52,TB,4
L_ful_Pop122,53,LL,5
L_ful_Pop124,54,LL,5
L_ful_Pop125,55,LL,5
L_ful_Pop126,56,LL,5
L_ful_Pop127,57,LL,5
L_ful_Pop129,58,LL,5
L_ful_Pop130,59,LL,5
L_ful_Pop131,60,LL,5
L_ful_Pop132,61,LL,5
L_gent_Pop114,62,LL,5
L_gent_Pop115,63,LL,5
L_gent_Pop116,64,LL,5
L_gent_Pop117,65,LL,5
L_gent_Pop191,66,LL,5
L_gent_Pop192,67,LL,5
L_gent_Pop194,68,LL,5
L_gent_Pop196,69,LL,5
L_gent_Pop197,70,LL,5
L_gent_Pop198,71,LL,5
L_gent_Pop199,72,LL,5
L_gent_Pop004,73,BL,6
L_gent_Pop008,74,BL,6
L_gent_Pop010,75,BL,6
L_gent_Pop011,76,BL,6
L_ful_Pop001,77,BL,6
L_ful_Pop004,78,BL,6
L_ful_Pop005,79,BL,6
L_ful_Pop006,80,BL,6
L_ful_Pop007,81,BL,6
L_ful_Pop009,82,BL,6
